Breed,Weight,LitterSize,BirthWeight,Lifespan,T50
Parson Russell Terrier,6.80388555,4.5,0.19,13,#N/A
Pekingese,,3.1,#N/A,11.42,#N/A
Pembroke Welsh Corgi,,5.5,0.34,12.21,#N/A
Perro de Presa Canario,43.99845989,8.4,#N/A,#N/A,#N/A
Peruvian Inca Orchid (Large),18.48388908,#N/A,#N/A,#N/A,#N/A
Peruvian Inca Orchid (Medium),9.97903214,#N/A,#N/A,#N/A,#N/A
Peruvian Inca Orchid (Small),5.89670081,#N/A,#N/A,#N/A,#N/A
Petit Basset Griffon Vendéen,14.74175203,5.1,#N/A,#N/A,#N/A
Pharaoh Hound,22.6796185,#N/A,#N/A,11.83,#N/A
Plott Hound,23.92699752,#N/A,#N/A,#N/A,#N/A
Pointer,27.2155422,7.2,#N/A,12.42,#N/A
Polish Lowland Sheepdog,18.1436948,#N/A,#N/A,9.58,#N/A
Pomeranian,2.26796185,2.4,#N/A,9.67,#N/A
Poodle (Miniature),5.669904625,3,#N/A,13.92,#N/A
Poodle (Standard),24.94758035,7,#N/A,12,#N/A
Poodle (Toy),2.26796185,2.4,#N/A,14.63,15.01
Porcelaine,26.53515365,#N/A,#N/A,#N/A,#N/A
Portuguese Podengo (Large),24.94758035,#N/A,#N/A,#N/A,#N/A
Portuguese Podengo (Medium),17.91689862,#N/A,#N/A,#N/A,#N/A
Portuguese Podengo Pequeno,4.98951607,#N/A,#N/A,#N/A,#N/A
Portuguese Pointer,21.31884139,#N/A,#N/A,#N/A,#N/A
Portuguese Sheepdog,21.88583185,#N/A,#N/A,#N/A,#N/A
Portuguese Water Dog,21.2054433,7.4,0.284,11.42,#N/A
Pudelpointer,26.08156128,#N/A,#N/A,#N/A,#N/A
Pug,7.25747792,4.2,0.227,11,#N/A
Puli,13.6077711,4,#N/A,12.42,#N/A
Pumi,11.56660544,5.6,#N/A,#N/A,#N/A
Pyrenean Mastiff,81.6466266,5,#N/A,#N/A,#N/A
Pyrenean Shepherd (Rough-Faced),10.20582833,#N/A,#N/A,#N/A,#N/A
Pyrenean Shepherd (Smooth-Faced),10.20582833,#N/A,#N/A,#N/A,#N/A
Rafeiro do Alentejo,47.40040267,#N/A,#N/A,#N/A,#N/A
Rat Terrier (Miniature),7.937866475,#N/A,#N/A,#N/A,#N/A
Rat Terrier (Standard),7.937866475,#N/A,0.227,#N/A,#N/A
Redbone Coonhound,26.08156128,#N/A,0.439,#N/A,#N/A
Rhodesian Ridgeback,35.15340868,8.9,0.44,11,#N/A
Romanian Mioritic Shepherd Dog,52.16312255,#N/A,#N/A,#N/A,#N/A
Rottweiler,46.49321793,7.4,#N/A,8.92,#N/A
Russell Terrier,5.44310844,#N/A,#N/A,#N/A,#N/A
Russian Toy,,2.7,#N/A,#N/A,#N/A
Russian Tsvetnaya Bolonka,3.515340868,#N/A,#N/A,#N/A,#N/A
Saint Bernard,65.77089365,6.8,0.566,7,21.9
Saluki,23.81359943,6.3,#N/A,12,#N/A
Samoyed,22.11262804,6.2,#N/A,12.5,#N/A
Schapendoes,18.37049099,6.6,#N/A,#N/A,#N/A
Schipperke,5.89670081,4.1,0.14,13,#N/A
Scottish Deerhound,41.39030376,8,#N/A,8.67,#N/A
Scottish Terrier,9.0718474,5.7,#N/A,10.25,#N/A
Sealyham Terrier,,4,#N/A,12.25,#N/A
Segugio italiano,22.6796185,#N/A,#N/A,#N/A,#N/A
Shetland Sheepdog,9.0718474,3.9,#N/A,12.5,#N/A
Shiba Inu,9.0718474,3.3,#N/A,7,#N/A
Shih Tzu,5.669904625,4.2,0.17,13.17,#N/A
Shikoku,20.41165665,#N/A,#N/A,#N/A,#N/A
Siberian Husky,21.54563758,5.1,0.527,12.58,#N/A
Silky Terrier,4.5359237,3.7,#N/A,14.25,#N/A
Skye Terrier,,3.3,#N/A,11,#N/A
Sloughi,19.27767573,10,#N/A,5,#N/A
Slovakian Wirehaired Pointer,26.08156128,#N/A,#N/A,#N/A,#N/A
Slovensky Cuvac,37.42137053,#N/A,#N/A,#N/A,#N/A
Slovensky Kopov,17.46330625,#N/A,#N/A,#N/A,#N/A
