Duckling ID,Pair ID,Nest ID,Incubation Temperature (°C),Sex,Lay Day of Year,Age (hours),Tarsus length (mm),Hatch Mass (g),First in Pair to Exit?,Latency to Move (s),Latency to Jump (s),Latency to Climb (s),Latency to Call (s),Latency to Exit (s),Exited? ,Number of jumps per minute Before first duck exited,Number of climbs per minute Before first duck exited,Number of jumps per minute After first duck exited,Number of climbs per minute After first duck exited,Total number of jumps per minute,Total number of climbs per minute
X4-17,13,X4,36.0,M,63,21.90,19.60,30.04,Y,26,69,119,7,177,Y,2.3729,1.0169,NA,NA,2.3729,1.0169
Y5-2,22,Y5,35.0,F,67,9.72,18.51,31.05,Y,45,92,253,185,285,Y,0.6316,0.2105,NA,NA,0.6316,0.2105
Y5-3,39,Y5,36.0,F,68,15.33,19.35,25.44,Y,225,535,538,243,1065,Y,2.5352,0.1690,NA,NA,2.5352,0.1690
Y5-4,42,Y5,36.0,M,70,12.58,19.61,30.08,Y,230,1403,1415,844,1533,Y,0.3914,0.1174,NA,NA,0.3914,0.1174
Y5-5,52,Y5,35.0,M,71,26.25,19.24,28.22,Y,33,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
Y7-13,28,Y7,36.0,F,66,10.35,19.05,25.26,Y,1800,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
Y7-14,25,Y7,35.0,F,67,14.17,19.49,24.93,N,322,427,471,3,538,Y,0.0000,0.0000,7.3770,1.9672,1.6729,0.4461
Y7-15,40,Y7,36.0,M,68,11.38,19.38,23.95,N,122,1088,1800,867,1800,N,0.0667,0.0000,NA,NA,0.0667,0.0000
Z1-10,43,Z1,35.0,M,68,12.67,20.63,33.09,N,67,1800,1800,207,1800,N,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Z1-11,48,Z1,35.0,M,69,21.20,20.29,34.20,Y,1576,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
Z1-12,47,Z1,36.0,M,70,23.55,20.66,34.34,Y,1560,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
Z1-9,22,Z1,36.0,M,67,13.93,19.70,34.28,N,48,203,225,228,313,Y,2.1053,0.4211,15.0000,2.1429,3.2588,0.5751
Z6-10,16,Z6,36.0,M,64,13.03,19.26,30.77,N,1800,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
Z6-12,15,Z6,36.0,F,65,10.87,18.95,24.50,Y,6,416,416,48,593,Y,0.4047,0.2024,NA,NA,0.4047,0.2024
Z6-8,12,Z6,36.0,F,63,22.32,20.36,33.08,N,36,74,177,47,201,Y,0.6742,0.0000,15.0000,0.5357,8.6567,0.2985
