,Vmax WR,Ftotmax WR,Mz WR,Pmax WR,PT WR,CT WR,Ror WR,,,,Vmax WOR,Ftotmax WOR,Mz WOR,Pmax WOR,PT WOR,CT WOR,Ror WOR
P06,3.318569584,364.4418956,59.58395349,532.761306,0.216666667,0.4625,3440.767371,,,P07,3.456254574,171.1334819,40.2101182,464.0347475,0.191666667,0.445833333,1950.618038
P06,3.743389614,328.3674617,55.5714011,476.078711,0.2,0.458333333,3799.411189,,,P07,3.392861314,154.2059825,32.58836418,323.5657514,0.175,0.45,1527.805046
P06,3.418418374,310.6233878,43.83210355,364.4557507,0.204166667,0.470833333,3209.308442,,,P07,3.208292338,181.2607644,35.70358438,349.8903061,0.1875,0.475,2355.306586
P06,3.052115199,291.943109,46.98413979,450.9815487,0.195833333,0.475,3286.528103,,,P07,3.342143769,177.9313112,32.60968277,396.8212407,0.170833333,0.458333333,2057.807796
P06,3.505180187,341.3382118,37.53369408,376.8602979,0.179166667,0.445833333,4242.168622,,,P07,3.363265063,138.4466287,33.06557862,402.3899517,0.170833333,0.45,1427.268842
P06,3.503696703,244.3006848,31.7789233,325.6448315,0.175,0.466666667,2325.556169,,,P07,3.562389814,175.5899277,32.71578473,379.6472041,0.1625,0.4625,2302.442479
P07,2.499877066,179.1374638,43.4308615,225.6161894,0.233333333,0.516666667,909.5206111,,,P07,3.553621098,185.8573589,28.81966496,295.4206151,0.15,0.441666667,2347.328626
P07,2.413952467,175.7927701,42.8176179,286.7420742,0.2375,0.504166667,1373.539718,,,P07,3.463363549,139.6870052,26.81320474,327.5148156,0.15,0.441666667,1633.309152
P07,2.521527128,166.993445,37.82399628,295.0347411,0.220833333,0.516666667,1489.865173,,,P08,3.527170369,278.8333736,48.53631218,546.6336214,0.170833333,0.395833333,4219.72033
P07,2.502888099,149.4680773,39.250726,297.2385735,0.2,0.520833333,1261.435606,,,P08,3.0612248,250.773307,54.81402986,597.4902779,0.15,0.370833333,4020.105745
P07,2.716289552,180.6622121,33.4872678,267.8244568,0.183333333,0.5,1189.174449,,,P08,3.481050922,271.3653529,43.96049276,514.9546808,0.166666667,0.391666667,4101.316617
